,Survived
692,1
481,0
527,0
855,1
801,1
652,0
509,1
557,0
828,1
18,0
647,1
402,0
846,0
467,0
51,0
412,1
421,0
250,0
818,0
409,0
253,0
218,1
256,1
226,1
294,0
706,1
753,0
197,0
835,1
220,1
739,0
33,0
430,1
150,0
586,0
204,1
344,0
747,1
323,1
264,0
134,0
832,0
190,1
107,1
192,1
449,1
96,0
382,0
715,0
364,0
474,0
434,0
63,0
763,1
748,0
842,1
643,1
365,0
494,0
308,0
651,1
302,0
716,1
819,0
732,0
251,0
154,0
403,0
610,0
205,0
219,0
693,0
686,0
383,1
550,1
468,0
654,0
649,1
482,0
742,1
195,1
43,1
446,1
626,0
791,0
32,1
684,0
373,0
418,0
844,0
794,0
821,1
179,0
415,0
367,1
713,0
537,1
77,0
155,0
156,1
368,1
381,1
395,0
128,1
278,0
298,1
214,0
809,1
50,0
890,0
723,0
232,0
34,0
45,0
694,0
114,0
122,0
627,1
261,1
238,0
437,1
585,1
796,1
254,0
286,1
94,0
691,1
140,0
406,0
440,1
424,0
792,0
612,1
848,0
152,0
118,0
633,0
347,1
783,0
159,0
133,1
268,1
2,1
523,1
598,0
769,0
619,0
574,0
379,0
656,0
771,0
260,0
480,0
230,1
125,1
396,0
866,1
779,1
767,0
461,0
466,0
734,0
394,1
705,0
345,1
552,0
469,1
722,0
350,0
432,1
5,0
588,0
78,1
235,0
695,0
721,0
453,1
414,1
751,1
545,0
807,0
575,0
93,0
314,0
517,0
816,0
266,0
540,1
356,1
877,0
358,1
873,0
161,1
113,0
518,1
175,0
757,0
74,1
130,0
604,1
438,0
262,0
858,1
326,0
234,0
668,0
516,1
483,1
641,1
1,1
491,0
856,1
86,0
664,1
181,0
638,0
213,0
90,0
374,0
193,1
249,0
392,0
663,0
460,1
797,1
870,0
176,0
803,1
246,0
475,0
471,0
121,0
709,1
352,0
20,0
667,0
139,0
583,0
554,1
660,1
613,0
203,0
719,0
646,0
228,0
208,1
740,1
839,1
645,1
521,0
782,0
168,0
332,0
696,0
407,1
700,1
505,0
768,0
7,0
737,1
851,0
673,1
735,0
174,0
704,0
569,1
36,1
209,1
681,1
718,0
108,0
164,0
674,0
388,0
755,1
46,0
479,1
677,1
765,1
361,0
597,0
770,0
328,1
276,0
636,0
702,0
854,0
871,1
148,0
178,0
717,1
81,1
493,0
820,1
678,0
287,0
330,1
166,1
628,0
729,0
815,0
318,1
338,1
320,0
52,1
608,1
184,1
255,1
800,0
862,1
41,0
513,1
547,1
546,1
151,1
331,0
64,0
833,0
488,0
531,0
405,0
744,1
201,0
360,0
47,1
70,0
682,0
377,0
123,1
194,1
135,0
616,0
543,1
445,1
119,0
413,0
343,0
89,0
836,0
439,0
317,0
85,1
733,0
145,0
280,0
490,0
865,1
144,0
221,0
124,0
524,0
110,0
59,0
120,0
242,0
811,0
885,0
605,0
307,1
158,0
542,0
132,0
284,0
25,1
303,1
887,1
556,1
778,0
31,1
263,0
805,0
24,0
207,1
655,0
60,0
750,1
187,1
380,1
632,1
222,0
111,0
611,0
620,0
711,0
787,0
217,0
319,1
233,1
606,0
274,1
171,0
831,1
426,1
378,0
26,0
793,0
163,0
584,0
231,0
590,0
813,0
44,1
623,0
876,0
535,1
400,1
73,0
362,0
548,0
340,1
849,1
617,0
838,1
269,1
423,0
13,0
355,0
273,0
425,0
850,0
97,1
465,0
784,0
66,1
6,0
247,1
313,0
533,1
14,0
272,1
538,0
526,1
568,0
408,0
539,1
514,0
56,1
631,0
600,1
191,0
112,0
170,0
464,0
687,0
95,0
289,1
508,0
774,1
761,0
57,0
420,0
861,0
670,1
265,0
53,1
830,1
525,0
510,1
506,1
372,0
812,0
311,1
49,0
602,0
629,0
589,0
102,0
653,1
581,1
640,0
487,0
599,1
448,1
558,1
500,0
54,0
334,1
306,1
37,0
867,0
579,1
795,0
12,0
21,1
662,0
512,1
624,0
454,0
335,0
534,0
76,0
522,0
103,0
309,1
183,1
404,0
416,1
339,0
327,1
528,0
622,1
843,0
200,0
301,1
304,0
419,0
852,0
101,0
227,0
669,1
325,1
837,0
648,0
725,0
882,0
808,0
503,0
754,1
658,0
727,1
672,0
657,0
746,0
72,0
470,0
149,0
499,0
141,1
661,0
305,1
285,0
675,0
169,0
594,0
777,1
780,1
551,0
357,0
845,0
348,1
399,1
299,1
857,1
859,0
290,1
650,0
710,1
621,1
707,1
384,0
450,0
136,1
863,0
456,0
22,1
19,1
789,0
83,0
259,1
291,1
109,1
370,1
829,1
724,1
486,1
497,0
699,0
42,0
457,1
210,0
127,1
618,1
443,1
385,0
8,1
766,0
683,0
874,1
225,0
248,1
592,0
760,0
342,0
595,0
762,1
15,1
229,0
243,0
772,0
477,0
69,0
563,0
577,1
519,0
79,1
61,1
738,0
786,1
615,1
10,1
376,1
28,1
398,0
688,0
270,0
881,0
237,1
0,0
572,1
666,0
283,1
888,0
390,1
529,0
567,0
172,1
847,0
117,0
236,0
741,0
601,0
825,0
391,1
282,0
720,1
429,1
822,0
312,0
496,1
185,0
30,0
288,1
281,0
3,1
371,0
834,0
182,0
189,0
642,0
884,0
582,0
147,0
630,1
609,1
337,1
316,1
80,0
781,1
167,0
131,0
591,1
363,0
798,0
48,0
224,1
240,0
806,0
215,1
478,0
840,0
708,1
315,1
875,1
206,0
257,1
98,1
573,1
788,1
562,0
520,1
212,0
436,0
292,0
561,0
827,1
188,0
100,0
346,1
697,1
321,0
310,1
58,1
202,0
393,1
116,0
68,1
329,1
67,0
785,0
498,0
35,0
173,0
223,0
277,0
689,1
129,0
451,0
267,1
872,0
635,1
665,0
889,1
104,0
177,0
544,0
680,0
476,0
359,1
258,1
736,0
462,0
507,1
